index,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
809,"Google to Launch Major New Social Network Called Circles, Possibly Today. {link} #SXSW",,No emotion toward brand or product
810,"Google to Launch Major New Social Network Called Circles, Possibly Today{link} #sxsw",,No emotion toward brand or product
811,Google to launch Major New Social Network called Circles: {link} Possibly today #SXSW,Other Google product or service,Positive emotion
812,Google to Launch Major New Social Network Called Circles!!!  #google #circles #sxsw {link},Other Google product or service,Positive emotion
813,Google to Launch Major New Social Network Called Circles!!! #google #circles #sxsw {link},Other Google product or service,Positive emotion
814,Google to Launch Major New Social Network Called Circles.. {link} #sxsw v @mention @mention,Other Google product or service,Positive emotion
815,Google to launch new social network at SXSW?  {link} #google #SXSW,,No emotion toward brand or product
816,Google to launch new social network at SXSW? - CNET News {link} #sxsw,Google,Positive emotion
817,Google to launch new social network at SXSW? {link} #ACLU #SXSW,,No emotion toward brand or product
818,"Google to Launch New Social Network Called Circles, Possibly Today {link} {link} #SXSW #in",,No emotion toward brand or product
819,"Google to launch new social network Circles, linking u more closely to peeps u connect w/most. possibly today @mention #sxsw!",Other Google product or service,Positive emotion
820,Google to launch new social portal today at #SXSW?  {link},,No emotion toward brand or product
821,"Google to launch product! Wait, no launch, but product exists.  Wait, product does not exist! #sxsw {link}",Google,Negative emotion
822,Google to launch social network &quot;Circles&quot; - denies launch at #sxsw though. {link} #google #circles,,No emotion toward brand or product
823,Google to launch social network called circles #sxsw RT,,No emotion toward brand or product
824,Google to launch social network Google Circles  at some point - but not at SXSW today.  :-(   {link}   #sxsw,,No emotion toward brand or product
825,"Google to launch their own social network today @mention #sxsw. Update status, share videos &amp; photos with a Circle of friends. {link}",,No emotion toward brand or product
826,"Hootsuite launches new Analytics, integrates with facebook, google analytics. Looks good! #hootsuite #sxsw  {link} #HootStats",,No emotion toward brand or product
827,Is Google launching a new social network (called Circles) today at #SXSW? {link},,No emotion toward brand or product
828,Is Google launching its own social network? Definitely not at ##sxsw. But rumor still has it...{link}  #googlecircles,,No emotion toward brand or product
829,We're not launching any products at #SXSW but we're doing plenty else. Join us for #H4ckers &amp; 80s dancing today {link},,No emotion toward brand or product
830,"Wikitude, Layar, FLAR tools, Argon, and Google Goggles- augmented reality browsers, tools &amp; apps to check out. #sxsw #eduar",,No emotion toward brand or product
831,I was too lazy to google it. #SXSW,,No emotion toward brand or product
832,Hope they leave it up after #SXSW RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} by @mention,,No emotion toward brand or product
833,"Check out Left Brain Search = Google. Right Brain Search = X at SXSW.
{link} #SXSW #BetterSearch",,No emotion toward brand or product
834,Check out Lightbox.com at the Team Android Choice Awards finalists announced at #sxsw @mention and team rock!,,No emotion toward brand or product
835,"God, it's like being at #sxsw - have iMac, MacBook, iPhone and BlackBerry all staring at me. Enough! Time to read a book - remember those?",iPhone,Negative emotion
836,It smells like cheese sticks. RT @mention &quot;She's the iPad DJ working the Etsy party.&quot; #realtalk #sxsw,,No emotion toward brand or product
837,"ha, seems like it --&gt; ÛÏ@mention The only news at SXSWi was Apple's temporary iPad store? #sxsw #wth?Û",Apple,Negative emotion
838,how's the line at #sxsw Apple Store for the #ipad?,,No emotion toward brand or product
839,There's a line at #SXSW Apple Store on ipad Day 2! {link},Apple,Positive emotion
840,Anyone in line at the temporary Apple Store in Austin has any idea till how late they'll be open tonight? #sxsw,,No emotion toward brand or product
841,People in line for iPad 2 passing time surfing on iPad 1. #sxsw,,No emotion toward brand or product
842,"Saw giant line, thought it was for movie premiere. It was at apple store for iPad 2. Heard more screams than at premiere! #SXSW",iPad,Positive emotion
843,Are there lines at the temp Apple Store in Austin yet? #sxsw,,No emotion toward brand or product
844,Here is a list of all the music performers at #SXSW {link} .  I used jQuery to screen-scrape it :),,No emotion toward brand or product
845,My people listening to #google #sxsw @mention  {link},,No emotion toward brand or product
846,"Since I'm listening to Google's Marissa Mayer, but engaging on Twitter I'm wondering what the heck happened to Google Buzz. #SXSW",Other Google product or service,Positive emotion
847,"Location, location location ! {link} via @mention from #google during #sxsw",,No emotion toward brand or product
848,#tech One lone dude awaits #iPad_2 at #AppleÛªs #SXSW store: Apple likely expected a bigger crowd forming... {link} #technology,,No emotion toward brand or product
849,I bet the longest iPad lines are gonna be in Austin. #sxsw,,No emotion toward brand or product
850,Getting a look at Google's Impact Dashboard for the first time. #sxsw,,No emotion toward brand or product
851,Google is looking at social signals more and more for search results. #qagb #sxsw,,No emotion toward brand or product
852,For those looking for HIG-like guidelines when designing for android {link} by Adam Beckley #uxamandroid @mention #SXSW,,No emotion toward brand or product
853,I've been looking forward to the google/bing q/a on website ranking all week. #sxsw,Google,Positive emotion
854,Radio 3.0 looking for new bands for our radio show. Listen: {link} {link} #nowplaying #newmusic #sxsw pls RT,,No emotion toward brand or product
855,If anyone lost an iPhone in a cab in downtown Austin last night please hit me up. #sxsw,,No emotion toward brand or product
856,If anyone lost an iPhone in the back of a cab in downtown Austin around 10.30-11p tonight please hit me up #sxsw,,No emotion toward brand or product
857,There's a lot of drinking &amp; drawing at the Google SketchUp party #sxsw,,No emotion toward brand or product
858,There are lots of other Google efforts helping Japan! and many other global issues. :)  RT @mention RT @mention wtf is up w/people at #sxsw,Google,Positive emotion
859,"You gotta love @mention @mention unabashed Apple #fanboy &gt;&gt; Before It Even Begins, Apple Wins #SXSW :: {link}",Apple,Positive emotion
860,So geeky! Love it! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,Positive emotion
861,.@mention Love it. @mention @mention #sxsw: &quot;apple comes up w/ cool technology no one's ever heard of because they don't go 2 conferences&quot; me 2!,Apple,Positive emotion
862,ÛÏ@mention Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,Positive emotion
863,N33: They Love Me in This Town  {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #necro,,No emotion toward brand or product
864,Sketchily lurking @mention big boi #sxsw concert on iPhone business with 8am HARD (read: massive announcement) deadline. #lovemyjob @mention,,No emotion toward brand or product
865,"trying to make a detailed, colour coded, google calendar for #SXSW is proving to be really tough. also, when did i get this organized?!",Google,Positive emotion
866,#technews Man panhandling for an iPad 2 at SXSW. WhatÛªs the world coming to? {link} #Tech_News #iPad_2 #SXSW #tech,,No emotion toward brand or product
867,&quot;How many people have iPads?&quot; Whole room raises hand. &quot;iPad 2's?&quot; Half the room raises hand. #stillonamacbook #shame #sxsw #nfusion,,Positive emotion
868,"RT Hiring marketers, designers, creatives, social media pros... Come see #Aquent booth 1415 #SXSW trade show. Might win iPad 2",,No emotion toward brand or product
869,I love it marketing genius.. #SXSW RT @mention Inside Apple's Temporary Store in Austin {link},Apple,Positive emotion
870,Great vid Marty! RT @mention #iPad2 Live Unboxing In Front Of The #SXSW Apple Store [VIDEO] {link},iPad,Positive emotion
871,I think I may go iPad only -- no laptop -- today at #SXSWi.  Any #SXSW veterans have any reasons why I shouldn't?,iPad,Positive emotion
872,They made me a #soundcloud ambassador for #sxsw I upload music from shows &amp; they reward me RT @mention This soundcloud android app is fresh,Android App,Positive emotion
873,"Come find me at the @mention booth, I have 2 @mention #iPad cases left and we have 1 more @mention to win! #cbatsxsw #SXSW",,No emotion toward brand or product
874,It amazes me how many people don't tuck the flap in on their apple iPad case #sxsw,,No emotion toward brand or product
875,what omfg means please? {link} Webber iPad #sxsw Dionne Warwick,,No emotion toward brand or product
876,Alert the media.  I just saw the one and only Android tablet at #sxsw.  Like finding a needle in a haystack!  I also saw a Cr-48.,Android,Positive emotion
877,N2: First Meetings {link} [codes valid: 12:00-3:59:59p 03/11/11] #infektd #sxsw #necro,,No emotion toward brand or product
878,"great for meetings, haha! #hollergram {link} #sxsw",,No emotion toward brand or product
879,But great mental image. RT @mention People in this session are taking photos w/ their iPad 2s up in the air... #doingitwrong #sxsw,,Positive emotion
880,purchased Mexican Mavis by Boy &amp; Bear... Sold! On first listen. Thanks #SXSW {link} #iTunes,,No emotion toward brand or product
881,purchased Mexican Mavis by Boy &amp; Bear... Sold! On first listen. Thanks #SXSW #iTunes #Free {link} #iTunes,Other Apple product or service,Positive emotion
882,"Comprando mi iPad 2 en el #SXSW (@mention Apple Store, SXSW w/ 62 others) {link}",,I can't tell
883,I think I might go all weekend without seeing the same iPad case twice... #sxsw,iPad,Positive emotion
884,For sure! Mine does via iPad RT @mention You know you are an #agnerd if your #dairy relies on evernote!  {link} #SXSW #agchat,iPad,Positive emotion
885,"Bummed to miss #SXSW this year, but we're all quarantined with the same kiddie cold, and I have GarageBand on my iPad to comfort me. #fb",iPad,Positive emotion
886,How did I miss this?! I knew I spotted NFC enabled google places marker at birds! No wonder all the billboard near #sxsw {link},,Positive emotion
887,"At Red 7, Mist Giant dope! Interviewed Adi from The Mind of Adi a few minutes ago, compared cat pics!  #sxsw Location: {link}",,No emotion toward brand or product
888,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product
889,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} (via @mention",,No emotion toward brand or product
890,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} #Android #BlackBerry #Keitai",,No emotion toward brand or product
891,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} #hootsuite",,No emotion toward brand or product
892,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} via @mention",,No emotion toward brand or product
893,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Shared by PaulÛ_ {link} #shared",,No emotion toward brand or product
894,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friendly down at S... {link}",,No emotion toward brand or product
895,mashup on mobile with contextual information in the future by #Google by Marissa Mayer #sxsw #thefutureismobile,,No emotion toward brand or product
896,"There are more than a few PATs here at #sxsw. If you don't know what I'm talking about, please google Julia Sweeney and learn.",,No emotion toward brand or product
897,"Well good morning #SxSWi day 4... I'm ready for another day of great panels, BC alumni &amp; the Industry Party tonight! #sxsw #gsdm #google",,No emotion toward brand or product
898,Loving my Morphie JuicePack today for a recharge of iPhone. So worth it. #sxsw,iPhone,Positive emotion
899,"Brilliant move by Apple: before it even begins, Apple wins #SXSW {link}",Apple,Positive emotion
900,"Hey #SXSW movers and shakers, @mention is publishing a &quot;Poke the Box&quot; eBook next week. Get involved: {link}",,No emotion toward brand or product
901,Having so much fun handing out chances to win 2 Audi cars with @mention #SXSW  (@mention Apple Store SXSW) {link},,No emotion toward brand or product
902,How could Murphy USA better serve you inside Google Maps on your phone? -Google is announcing great features in v5 #SXSW,Google,Positive emotion
903,Why can't my #iPad and I be intimate together? #tapworthy #designflaws #sxswi #sxsw,iPad,Positive emotion
904,compiling my #sxsw list in one google doc is taking a lot longer than i thought... so many parties. so many good musicians.,Other Google product or service,Negative emotion
905,Day 1 and my charger kicked the bucket. Where the heck is the Apple store that's within walking distance? #sxsw,Apple,Negative emotion
906,#sxsw did my good deed ... returned a lost iPhone,,No emotion toward brand or product
907,"Thanks to my good friend, the great @mention for gifting me an Exogear iPhone backup battery case. Priceless at #sxsw",,No emotion toward brand or product
908,Sent from my iPhone? RT @mention Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,,No emotion toward brand or product
909,"With just my iPhone and iPad on me, I feel very unequipped compared to everyone else. Dang! #sxsw",iPhone,Negative emotion
910,"Headed to my sole #sxsw event, the ACLU dotRights/Google party",Google,No emotion toward brand or product
911,whats the name of the song? {link} #imthetype iPad #imthetype #sxsw,,No emotion toward brand or product
912,Why do we need a &quot;page flip effect&quot; -ÛÏlike having a fake needle on a cd-playerÛ  #tapworthy #sxsw #iPad,,No emotion toward brand or product
913,"Hm? Do we need another 1? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,Negative emotion
914,What do u need? @mention Groups challenged with coming up with iPhone app to solve parenting issues #sxsw #worklifeprogress,,No emotion toward brand or product
915,.@mention needs the help of a badass android developer right now for a debugging emergency. Know anyone? @mention him. #SXSW,,No emotion toward brand or product
916,ÛÏ@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},iPad or iPhone App,Positive emotion
917,ÛÏ@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} -fin'ly!,,No emotion toward brand or product
918,ÛÏ@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #MashableÛ @mention vamos a probar...,,No emotion toward brand or product
919,Couple of new blogs: random tips on awesome iPhone app dev: {link} and the politics behind HTML5: {link} #SXSW,iPad or iPhone App,Positive emotion
920,Why isn't news industry spending more R&amp;D? Why wait for Apple to innovate for publishers (b/c print is subsidizing efforts.) #newsapps #sxsw,,No emotion toward brand or product
921,"HootSuite News: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product
922,This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,iPad,Positive emotion
923,@mention  Nice @mention store huh?  Any chance we can meet (face to face) while at #SXSW today or Sat?  Wanna talk #beer &amp; #social.,,No emotion toward brand or product
924,There are no hard feelings towards Google. @mention says they would make a great partner. #checkins #sxsw #pnid,Google,Positive emotion
925,.@mention No. 1 hack they found: people jumping over the corporate firewall (e.g. using Google Docs etc.) #hackingwork #sxsw,,No emotion toward brand or product
926,"Hope it's not a flop akaBuzz! @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product
927,C34: ItÛªs Not a Retreat! {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #cvdc,,No emotion toward brand or product
928,"ÛÏ@mention Not a rumor: Apple doing popup store in downtown Austin for #SXSW &amp; iPad 2 launch {link} Smart move, 1of many #dfcbto",Apple,Positive emotion
929,Is anyone NOT hopping on this groupon bandwagon?! ÛÏ@mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link},,No emotion toward brand or product
930,Google is NOT launching any products at #SXSW {link},,No emotion toward brand or product
931,"Google is not launching anything during #sxsw, just partying {link} #circles",,Negative emotion
932,"No Droid? Not surprised. RT @mention spotted at #sxsw: table of three people with 8 phones, an iPad and a MacBook out. #gadgetoverload",,No emotion toward brand or product
933,"To buy or not to buy RT @mention Before It Even Begins, Apple WinsåÊ#SXSW {link}",Apple,Positive emotion
934,"Farooqui: Now about mobile. iOS, with Android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw",Android,Positive emotion
935,Fear not! Now extended through Wed! --&gt; RT @mention RT @mention Last day for Apple popup is Sunday 3/13 #SXSW #AppleATXdt,Apple,Positive emotion
936,Calvin is now the Geek Charlie Sheen with his goddesses. @mention @mention @mention @mention #google #SXSW,,No emotion toward brand or product
937,.@mention of @mention &quot;We were getting feedback from #SXSW groups &amp; we pushed out an Android fix at the grilled cheese stand yesterday.&quot;,,No emotion toward brand or product
938,".@mention of @mention on manufacturing serendipity- &quot;Having access to more information makes us more curious, not less&quot; #SXSW",,No emotion toward brand or product
939,&quot;All of #SXSW is nothing but a teeming sea of iPhone addicts too busy Twittering to ever engage with one anothÛ_ (cont) {link},iPhone,Negative emotion
940,Not a fan of a new #sxsw trend - audience sharing opinions via holding up an iPad. Not here to listen to you. #annoying,iPad,Negative emotion
941,&quot;40% of all Google Maps usage is on mobile&quot; - Marissa Mayer #sxsw,,No emotion toward brand or product
942,The power of Apple: People who have spent hundreds of dollars to attend #SXSW are spending the day waiting in line for an iPad.,Apple,Positive emotion
943,Continuum of attitudes on crowdsourcing: Gap is to &quot;I hear you&quot; as Apple is to &quot;I'll tell you&quot; #sxsw,Apple,Positive emotion
944,Google VP of consumer products Marissa Mayer says location is everything: {link} #sxsw,,No emotion toward brand or product
945,#SXSW 20% of Google searches are for local information: Marissa Mayer. 6 million places claimed by their owners and logged by #Google,,No emotion toward brand or product
946,Third era of google logos = an interactive play space. Get ready. #GoogleDoodle #sxsw #gsdm,Other Google product or service,Positive emotion
947,"New batch of iPad 2's just delivered #sxsw #ipad2 @mention Apple Store, SXSW {link} #photo",,No emotion toward brand or product
948,Highlight of my day was undoubtedly meeting @mention from Google for 30 seconds after her softball fancrazed preso at #SXSW,Google,Positive emotion
949,Cool team of startups came via siliconvalley bus hacking apps @mention  ex-Google Au now on stage w speakermeetup #sxsw at DogPatch Labs,,No emotion toward brand or product
950,"Wow, lots of the #SXSW audience haven't seen the 3D vector panning in Google Maps for Mobile - gasps of appreciation",Other Google product or service,Positive emotion
951,#sxsw tip of the day (again ;-). turn your iphone screen brightness down. way down. #conservebatterylife #peace @mention,,No emotion toward brand or product
952,first leg of the Mobile Social at #sxsw #fb {link},,No emotion toward brand or product
953,I14: Call of the Zombie {link} [codes valid: 4:00-7:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product
954,I18: Call of the Zombie {link} [codes valid: 8:00-11:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product
955,Tomlinson of TX Observer says Apple subscription data holding is biggest impediment to success. #newsapps #sxsw,Apple,Negative emotion
956,"Tip: Turn off push &amp; set fetch to manual mode for email (mail,contacts &amp; cal &gt; fetch new data) - saves battery.  #iPhone #SXSW",,No emotion toward brand or product
957,ÛÏ@mention Official #SXSW App Û÷SXSW GOÛª {link} #android #iphone #ipadÛ &lt;thanks!installed,iPad or iPhone App,Positive emotion
958,"Zazzle is officially at #SXSW! Come by the @mention Grille, mention us with #zazzlsxsw and youÛªll get to make your own iPhone case!",,No emotion toward brand or product
959,"#technews OMG/JK: A Kiss For iPad 2, A Slap For Xoom {link} #Tech_News #iPad_2 #JK #OMG #SXSW #tech",iPad,Positive emotion
960,.@mention on #sxsw with a Cr48. there's so much potential here! {link},,No emotion toward brand or product
961,"Idle time on a #SXSW Friday can be an expensive thing. (@mention Apple Store, SXSW w/ 80 others) [pic]: {link}",,No emotion toward brand or product
962,It's also on Android. :) RT @mention Foodspotting's hit iPhone app finds the foods you crave {link}  #cnnmoneysxsw #sxsw,,Positive emotion
963,USA Today on iPad: makes good use of digital shortcuts while still looking like a newspaper. @mention #tapworthy #sxsw,iPad,Positive emotion
964,"iPhone in one hand, caramel macchiato in the other. Ouch-hiss-hot!  With apparently two pumps of lava. And so it begins... #sxsw #tmsxsw",iPhone,Positive emotion
965,Thats the one i want to get when it hits canada.RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,,No emotion toward brand or product
966,#technews One lone dude awaits iPad 2 at AppleÛªs SXSW store {link} #Tech_News #Apple #iPad_2 #SXSW #tablets #tech,,No emotion toward brand or product
967,More than one million ratings per month on Google HotPot #SXSW ^pr,,No emotion toward brand or product
968,I can haz one? ÛÏ@mention Just showed off @mention Charge Anywhere at a bar to charge my iPhone and the whole table wanted to buy one. #SXSWÛ,iPhone,Positive emotion
969,&quot;the only explanation for the continued success of Apple is the existence of God.&quot; @mention #enchantment #sxsw,,No emotion toward brand or product
970,"#Apple to open a &quot;pop-up&quot; store across the street from #SXSW for two weeks? Umm, genius. If it isn't obvious... *cough (#iPad2) cough*",Apple,Positive emotion
971,#Apple to open pop up store at #SXSW in time for #ipad2 sales {link},,No emotion toward brand or product
972,#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link},,No emotion toward brand or product
973,#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link} (via @mention,,No emotion toward brand or product
974,#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link} #property,,No emotion toward brand or product
975,#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in theÛ_ {link},,No emotion toward brand or product
976,#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in the... {link} #realestate #tech,,No emotion toward brand or product
977,#Apple to Open Pop-Up Shop at #SXSW {link} via @mention,,No emotion toward brand or product
978,#Apple to open pop-up shop at #SXSW:  {link},,No emotion toward brand or product
979,#Apple to Open Pop-Up Shop at SXSW {link} &lt;---cool concept but I wouldn't spend my #SXSW waiting for the #iPad2,iPad,Negative emotion
980,#Apple to open temporary store at #SXSW {link},,No emotion toward brand or product
981,Have some open time Tues &amp; Wed if any news site managers want to chat about Google News. Let me know! #sxsw,,No emotion toward brand or product
982,Wear your OpenBeta VIP Badge at #sxsw and you might win an iPad from QuiBids and a case from @mention #sxswbuffalo,,No emotion toward brand or product
983,"Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",iPad,Positive emotion
984,Launching our iPhone app soon and we're participating to the LaunchRock comp at #SXSW {link} get your invite now! :),,No emotion toward brand or product
985,Hey #SXSW our new iPad app Dexteria is now available {link} like us on Facebook {link},iPad or iPhone App,Positive emotion
986,"IPad 2 is out! Plenty of people at the store..and in line..scarfing them up. #SXSW (@mention Apple Store, SXSW w/ 65 others) {link}",iPad,Positive emotion
987,Nice line outside #sxsw #apple store! I guess people want some iPad2s!!!,iPad,Positive emotion
988,Confusion over Google Circles. Google claim Circles is not being released at #sxsw and is not even in development. {link},,No emotion toward brand or product
989,@mention  packing a point by showing iphone fragmentation  #SXSW,iPhone,Negative emotion
990,Attending panel &quot;better living through cloud computing &quot; presented by Google's Jon Wiley. #sxsw,,No emotion toward brand or product
991,One #SXSW panel moderator who is from the Europe says he spent $3000 in roaming charges on his iPhone at SXSW 2010.,,No emotion toward brand or product
992,The brown paper on the windows as the line grows at the #SXSW PopUp Apple Store by Gold's Gym at Sixth &amp; Congress. {link},,No emotion toward brand or product
993,"#sxsw two parties down (Awesome Journalism, NPR/Google), one to go (PBS).",,No emotion toward brand or product
994,At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion
995,Hey #sxsw peeps! Our new IPhone app ON #Voicefeed just launched the US: {link} Check it out and let us know what you think!,iPad or iPhone App,Positive emotion
996,"Watch how people interact with information... it be different, bigger, smaller... #touchingstories #iPad and/or #tablet #SXSW",,No emotion toward brand or product
997,Hey #sxsw people! Survival tip no 2. Great vegitarian/vegan right in the think of the action. Mr Natural! {link} #sxswsurvival,,No emotion toward brand or product
998,The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts. {link},,No emotion toward brand or product
999,"New post: Per this rumor, Google may preview its big social strategy at an '80s-themed costume party at #SXSW. Yep {link}",,No emotion toward brand or product
1000,Instagram photo by iamtimbaker: Google's 1980's #SXSW Party with @mention {link},,No emotion toward brand or product
1001,Trying to pick up on a theme at #SXSW this year.  I think it may be the opening of data from Google to government. #SXSW #bolinsxsw,,No emotion toward brand or product
1002,Google is planning to launch a major new Social Network called Circles. Previews so far have been super positive #SXSW {link},Other Google product or service,Positive emotion
1003,mashable: Platform for Concertgoers Launches Android App in Time for SXSW - {link} #sxsw {link},,No emotion toward brand or product
1004,A game to play at SWSX... spot non Apple electronics. #sxsw,,No emotion toward brand or product
1005,I need to play this game on my #android - #SXSW {link},Android,Positive emotion
1006,Grown men playing legos... Google party #sxsw  @mention Speakeasy {link},,No emotion toward brand or product
1007,I left my pocket guide at the hotel. I don't know how I'm going to cope. What does that say about the usability of iPad/iPhone app? #SXSW,iPad or iPhone App,Negative emotion
1008,"Check out Poked, Liked &amp; Re-Tweeted: A Google Love Story at SXSW.
{link} #SXSW #sxsw15 #sxswiC",,No emotion toward brand or product
1009,"Check out Poked, Liked &amp; Re-Tweeted: A Google Love Story at SXSW. #SXSW #sxsw15 #sxswiC",,No emotion toward brand or product
1010,Temporary Pop Shop by #Apple at #SXSW and Nice Flipboard upgrade,,Positive emotion
1011,The apple pop up store at #sxsw is no joke.,Apple,Positive emotion
1012,Found the pop-up Apple store at #SXSW,,No emotion toward brand or product
1013,The Apple pop-up store is more attractive and impressive than many permanent retail stores. #sxsw,Apple,Positive emotion
1014,The Apple pop-up store line finally dwindled. Time to check out iPad2. #sxsw,iPad,Positive emotion
1015,"The apple popup store was off the hook last night at #sxsw - singing, dancing, high fives on new iPad purchase",iPad,Positive emotion
1016,"Wordpress powers 12% of websites (from #SXSW talk from WP founder).  WOW.  The other 88%?  russian spam bots, nigerian bankers, google",,No emotion toward brand or product
1017,"Brilliant PR stunt, business idea and customer service response in one: Apple sets up a pop-up store at #sxsw, draws crowds, media &amp; revenue",Apple,Positive emotion
1018,"Panels on PR, cloud computing, Android design, iPhone design today. Hope to redeem my panel experience in one fell swoop #sxsw",,No emotion toward brand or product
1019,"Excellent presentation by @mention on &quot;The untapped iPad Market, is your site POUR?&quot; #sxsw #poursite #accessibility",iPad,Positive emotion
1020,Excellent presentation on digital magazines {link} #touchingstories #SXSW,,No emotion toward brand or product
1021,Hey #sxsw presenters &amp; attendees! Here are tips on how to show presentations on the #iPad and #iPhone {link},,No emotion toward brand or product
1022,iPad 2 is pretty sick! Almost makes me think I need one! #sxsw,iPad,Positive emotion
1023,Google to preview new social network called Circles at SXSW Interactive today - {link} #Google #Social #SXSW #Circles,,No emotion toward brand or product
1024,Google To Preview Social Networking Platform At #SXSW Conference? {link},,No emotion toward brand or product
1025,#technews Privacy Could Headline Google Circles Social... {link} #Tech_News #ACLU #Google_Circles #Social_Network #SXSW #tech,,No emotion toward brand or product
1026,.@mention Problem with Google Living Stories was the process of creating content didn't change - was just an interface. #hacknews #SXSW,Other Google product or service,Negative emotion
1027,÷¼ We have problemsÛ_TIME TO STOP *******! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product
1028,Im in the Q at the Apple pop up store #sxsw with @mention and @mention !! :))  {link},,No emotion toward brand or product
1029,"Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW.
{link} #SXSW #qagb",,No emotion toward brand or product
1030,Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW. #SXSW #qagb #sxsma,,No emotion toward brand or product
1031,"ÛÏ@mention Qik Video Connect Plus launches today! Get live video chat, video mail, share live video to Twitter and more  #SXSWÛ make it for iPad",,No emotion toward brand or product
1032,"Ne sapete qualcosa? ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ",,No emotion toward brand or product
1033,"if you're racing around #sxsw, you best be fueling up with great local fare
#eatshopaustinapp {link}",,No emotion toward brand or product
1034,Now on my radar: Google Circus. RT @mention Google to Launch New Social Network: Circles via @mention {link} #pr  #SXSW,,No emotion toward brand or product
1035,BRILLIANT READ: Attention Marketers and Media Professionals: the iPad won't save you by @mention  {link} #usguys #SxSW,,Negative emotion
1036,"Augmented reality? Pah! Mayer (Google) calls it &quot;contextual discovery&quot; ÛÒ doing searches without search, *with users' permission* #sxsw",,No emotion toward brand or product
1037,".@mention Rec: Give the Bad Apple a job in a mtg, such as taking notes. Make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",,No emotion toward brand or product
1038,Google is reproducing digitally the way you organically consume information. Goggles is the best example of that. #SXSW #MarissaMeyer,Google,Positive emotion
1039,"Future of retail instore = party [goods] up front, biz [inventory ]in the back ala #apple mullet #sxsw #kiosks",,No emotion toward brand or product
1040,".@mention retiring from Wine Library TV, moving onto Daily Grape. Get the app on yr iPhone. #thankyouecon #SXSW",iPad or iPhone App,Positive emotion
1041,.@mention reveals average time users spent on NYT's Oscars iPad app was 16mins: &quot;That blew my mind&quot; #newsapps #sxsw,iPad or iPhone App,Positive emotion
1042,"They were right, the @mention 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion
1043,ÛÏ@mention RT @mention - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ,,No emotion toward brand or product
